
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
60:31:97:77:CE:3E, 2025-02-05 08:27:32, 2025-02-05 08:27:36,  1, 130, OPN, ,   , -62,        6,        0,   0.  0.  0.  0,  22, maeva_inter_residences, 
D6:31:D1:59:BA:32, 2025-02-05 08:27:32, 2025-02-05 08:27:36,  1, 360, OPN, ,   , -71,        5,       21, 172. 16.  0.  1,  19, PV_INTER_RESIDENCES, 
D4:1A:D1:59:BA:28, 2025-02-05 08:27:32, 2025-02-05 08:27:36,  1, 360, OPN, ,   , -59,        5,        8, 172. 16.  5. 67,  19, PV_INTER_RESIDENCES, 
D6:28:D1:59:BA:29, 2025-02-05 08:27:32, 2025-02-05 08:27:36,  1, 360, OPN, ,   , -60,        6,        4, 172. 16.  0.  1,  19, PV_INTER_RESIDENCES, 
D4:1A:D1:47:4B:B1, 2025-02-05 08:27:32, 2025-02-05 08:27:36,  6, 360, OPN, ,   , -74,        4,       33, 172. 16.  0.  1,  23, maeava_inter_residences, 
D6:B1:D1:47:4B:B2, 2025-02-05 08:27:32, 2025-02-05 08:27:36,  6, 360, OPN, ,   , -74,        3,        3, 172. 16.  0.  1,  22, maeva_inter_residences, 
D4:1A:D1:59:BA:31, 2025-02-05 08:27:33, 2025-02-05 08:27:36,  1, 360, OPN, ,   , -72,        5,        3, 172. 16.  0.  1,  19, PV_INTER_RESIDENCES, 
D4:1A:D1:47:4B:AB, 2025-02-05 08:27:34, 2025-02-05 08:27:35, 11, 360, OPN, ,   , -81,        3,        0,   0.  0.  0.  0,  22, maeva_inter_residences, 
D6:AB:D1:47:4B:AC, 2025-02-05 08:27:35, 2025-02-05 08:27:35, 11, 360, OPN, ,   , -82,        2,        0,   0.  0.  0.  0,  22, maeva_inter_residences, 
EA:92:96:3C:2E:93, 2025-02-05 08:27:35, 2025-02-05 08:27:35,  6, 360, WPA2, CCMP, PSK, -65,        2,        0,   0.  0.  0.  0,   8, HONOR 90, 
D4:1A:D1:59:BA:37, 2025-02-05 08:27:35, 2025-02-05 08:27:35,  6, 360, OPN, ,   , -88,        2,        0,   0.  0.  0.  0,  19, PV_INTER_RESIDENCES, 
D6:37:D1:59:BA:38, 2025-02-05 08:27:35, 2025-02-05 08:27:35,  6, 360, OPN, ,   , -86,        1,        0,   0.  0.  0.  0,  19, PV_INTER_RESIDENCES, 
AC:8B:A9:66:3B:D2, 2025-02-05 08:27:35, 2025-02-05 08:27:35,  1,  -1, OPN, ,   ,  -1,        0,        1,  10. 20. 43.246,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
74:E5:43:E1:1D:47, 2025-02-05 08:27:32, 2025-02-05 08:27:32, -63,       19, D6:31:D1:59:BA:32,
5E:EA:74:B4:35:94, 2025-02-05 08:27:32, 2025-02-05 08:27:32, -80,        5, D6:28:D1:59:BA:29,
8E:C1:D7:AA:95:EC, 2025-02-05 08:27:32, 2025-02-05 08:27:32, -87,        1, (not associated) ,
14:13:0B:15:1D:1C, 2025-02-05 08:27:32, 2025-02-05 08:27:35, -74,        8, (not associated) ,
E0:03:6B:DA:5C:E4, 2025-02-05 08:27:35, 2025-02-05 08:27:35, -52,       28, D4:1A:D1:47:4B:B1,
D6:FC:0C:A4:29:7B, 2025-02-05 08:27:35, 2025-02-05 08:27:35, -83,        2, (not associated) ,WIFI_UCPA
0A:DA:0A:C6:56:1E, 2025-02-05 08:27:35, 2025-02-05 08:27:36, -36,        9, D4:1A:D1:59:BA:28,
D4:E6:B7:7A:7D:53, 2025-02-05 08:27:36, 2025-02-05 08:27:36, -52,        1, D6:B1:D1:47:4B:B2,

